#{"t_start": 1743676321.858782, "env_id": "None"}
r,l,t
-0.607154,1,2.702919
36.305866,50,16.83574
-0.452696,1,18.596977
-0.135885,1,20.356989
-0.136703,1,22.117143
-0.164987,1,23.878214
21.068016,50,38.448251
-0.341627,1,40.207402
-0.150424,1,41.966998
-0.138382,1,43.726818
35.385835,50,57.856208
-0.387268,1,59.616784
6.639762,50,73.796922
20.877917,50,87.923365
-0.379649,1,89.683092
21.355985,50,103.886965
-0.288306,1,105.647014
21.236896,50,119.773497
-0.389569,1,121.53176
21.060134,50,135.70839
-0.322267,1,137.467606
21.411195,50,151.590071
-0.313686,1,153.350817
49.640489,50,167.532814
-0.445529,1,169.293225
-0.79344,1,171.056254
9.506772,50,185.186985
-0.292965,1,186.948285
35.723381,50,201.144787
-0.373602,1,202.903971
4.469943,50,217.035889
-0.167551,1,218.794549
-0.127549,1,220.553821
-0.123795,1,222.31296
-0.146358,1,224.072433
-0.405291,50,238.262734
-0.243895,1,240.023979
22.14394,50,254.138642
-0.24542,1,255.897664
-0.111138,1,257.656606
-0.12007,1,259.415878
22.177651,50,273.590869
-0.270937,1,275.350961
-0.80465,1,277.110101
9.319876,50,291.245098
-0.182482,1,293.005886
-0.834031,1,294.76503
-0.836389,1,296.52464
-0.127207,1,298.28381
8.750314,50,312.459106
-0.205119,1,314.219437
6.45305,50,328.333097
-0.140972,1,330.092398
22.637113,50,366.940999
-0.30338,1,368.700884
-0.112551,1,370.4609
15.87845,50,384.589435
-0.277849,1,386.349876
2.256019,50,400.544414
-0.102715,1,402.303376
22.749444,50,416.430607
49.824275,50,430.608071
-0.555859,1,432.36725
35.712679,50,446.486751
32.08951,50,460.665161
-0.384889,1,462.424936
39.417689,50,476.548194
-0.368485,1,478.310706
22.501992,50,492.499714
29.12962,50,506.623597
-0.40142,1,508.3843
9.031995,50,522.57305
-0.212972,1,524.333566
-0.13985,1,526.093267
-0.08966,1,527.853194
-0.134302,1,529.614331
-0.119014,1,531.375624
-0.160826,1,533.135123
-0.153744,1,534.89778
22.658011,50,549.027917
-0.242387,1,550.789519
43.049333,50,564.960814
-0.39168,1,566.721581
4.178915,50,580.9109
-0.204856,1,582.673708
-0.828869,1,584.433669
-0.871982,1,586.19399
22.217807,50,600.32305
-0.252067,1,602.084527
49.660491,50,616.262735
-0.492364,1,618.024145
-0.855016,1,619.78444
23.141292,50,633.911102
-0.249734,1,635.673183
-0.797645,1,637.434346
-0.101931,1,639.196448
-0.823535,1,640.95734
22.915336,50,655.138343
-0.268942,1,656.900181
-0.085977,1,658.661851
-0.143379,1,660.423014
22.623004,50,674.545628
-0.261845,1,676.308607
-0.790671,1,678.071111
-0.733717,1,679.832712
-0.110716,1,681.59434
9.953721,50,718.413801
-0.685716,1,720.174714
22.496354,50,734.300956
-0.24986,1,736.062095
42.906285,50,750.25953
-0.342571,1,752.020758
-0.715041,1,753.781675
29.603582,50,767.917436
-0.297876,1,769.678131
22.846453,50,783.867445
-0.582264,1,785.630962
-0.77613,1,787.392587
22.529143,50,801.524428
-0.246556,1,803.287379
-0.777599,1,805.049566
-0.78358,1,806.811046
2.62779,50,820.988337
-0.112123,1,822.748903
-0.735603,1,824.509834
-0.033431,1,826.271745
49.685213,50,840.396097
-0.431089,1,842.156489
-0.795896,1,843.917183
22.752152,50,858.11843
-0.258781,1,859.881512
22.26867,50,874.02653
-0.280914,1,875.78842
22.42493,50,889.976285
-0.253078,1,891.737571
-0.744537,1,893.498974
-0.763083,1,895.260498
22.678517,50,909.390947
-0.2698,1,911.153094
22.063361,50,925.328232
-0.30085,1,927.088988
22.357655,50,941.20946
-0.28622,1,942.971794
5.438496,50,957.163335
-0.226989,1,958.925713
21.791676,50,973.044537
-0.280944,1,974.806876
47.182049,50,988.983465
-0.447848,1,990.745426
-0.127374,1,992.506579
21.762642,50,1006.62731
-0.285058,1,1008.389937
-0.771426,1,1010.152991
22.168018,50,1024.328897
-0.254186,1,1026.090606
29.50224,50,1040.219116
-0.311327,1,1041.981689
22.437321,50,1091.159585
-0.230992,1,1092.922836
-0.70692,1,1094.684587
-0.705228,1,1096.447705
22.860972,50,1110.622799
